cluster_0_prob,cluster_1_prob,cluster_2_prob,cluster_3_prob,cluster_4_prob,cluster_5_prob,cluster_6_prob,cluster_7_prob,cluster_8_prob,cluster_9_prob,cluster_10_prob,cluster_11_prob,GHS_urban_area_id
0.012853268,0.008177462,0.013474042,0.014398002,0.0096264025,0.0003615737,0.8579624,0.0087326905,0.010305619,0.026208993,0.007664512,0.030235149,141
0.037873887,0.027894806,0.41970435,0.041439492,0.031211156,0.0029795032,0.21156327,0.02926733,0.03286903,0.05861956,0.026677072,0.07990051,142
0.23882587,0.03925044,0.0025313753,0.07170552,0.06903542,0.00017903108,0.015574043,0.039286032,0.05591149,0.42239907,0.030190349,0.015111349,143
0.07048106,0.043614212,0.008691608,0.2018509,0.051136125,0.0005053904,0.057352066,0.051516086,0.076094955,0.11746517,0.040243752,0.2810487,144
0.035639226,0.027426345,0.4638052,0.04237027,0.03007121,0.0031009025,0.15513574,0.029031612,0.03289491,0.05234914,0.026413478,0.10176208,145
0.015977021,0.2777886,0.00034418693,0.010371954,0.053353813,3.3894365e-05,0.0012502159,0.14581679,0.04149845,0.0045439224,0.44729155,0.0017295469,146
0.0125146415,0.09873642,0.00030971604,0.009509504,0.033239786,3.0598785e-05,0.0011247797,0.1843612,0.037659902,0.003932906,0.6170034,0.001577205,147
0.06717509,0.04111465,0.0036180837,0.5118808,0.048859555,0.000247627,0.01983886,0.05176709,0.09176102,0.073570035,0.037137955,0.053029153,148
0.261318,0.04218332,0.0024152854,0.10523794,0.07362644,0.00017097306,0.0148139475,0.044642888,0.06984927,0.3367312,0.032666408,0.01634434,149
0.034677338,0.028228685,0.5317263,0.041308545,0.030293053,0.004676336,0.10256717,0.029785588,0.03319839,0.04685234,0.027447015,0.089239195,150
0.7345715,0.028060237,0.0007588952,0.034993522,0.0659971,5.9398604e-05,0.0038836123,0.026994998,0.041687578,0.039305247,0.01919445,0.004493447,151
0.047478497,0.040292386,0.43932718,0.050558675,0.042811524,0.022255022,0.09851909,0.041560255,0.04438646,0.059053052,0.03938385,0.074374035,152
0.045423273,0.042324267,0.08814831,0.046664707,0.043459047,0.4409642,0.05975116,0.042914614,0.044153597,0.04964364,0.041910294,0.05464297,153
0.6263429,0.044857986,0.0006375592,0.026902843,0.15860797,5.315208e-05,0.0029425842,0.037186615,0.051562827,0.020878991,0.026506472,0.0035201123,154
0.052711025,0.04843374,0.12016098,0.05439175,0.049993336,0.32838058,0.073551446,0.049227767,0.050922245,0.058662735,0.047863483,0.065700896,155
0.0199321,0.016312473,0.7549165,0.021660583,0.01755416,0.0047827256,0.051844683,0.016938305,0.018392397,0.026212517,0.015855862,0.035597634,156
0.050095752,0.016498867,0.0021963627,0.048672464,0.023864828,0.00013379382,0.018831015,0.018081719,0.025924608,0.76436985,0.014003411,0.017327273,157
0.0042632422,0.0033276896,0.9426098,0.0047235657,0.0036416876,0.00055034587,0.015479506,0.0034814908,0.0038541341,0.006040615,0.0032118978,0.008815987,158
0.60224605,0.047928188,0.0006678498,0.028123353,0.17245276,5.573149e-05,0.00306581,0.038551584,0.053984255,0.021525465,0.027706832,0.0036922127,159
